N° LIVRE;N° ISBN;TITRE;AUTEUR;EPOQUE;NATIONALITE;GENRE;SOUS GENRE;CATEGORIE LECTEUR;COMMENTAIRE;REF BIBLI;PRESENT;DATE EMPRUNT;EMPRUNTEUR;RETOUR PREVU
498;9782878589764;SOUS LE CIEL QUI BRULE;NGUYEN HOAI HUONG;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;ROMAN;ADULTE;;RRO-NGU;;;;
499;9782070727049;ECOLE DE LA CHAIR-L';MISHIMAYUKIO;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;ROMAN;ADULTE;;RRO-MIS;;;;
500;9782070771929;TRISTANO MEURT;TABUCCHI ANTONIO;CONTEMPORAINE (+19°);ITALIEN;ROMAN;ROMAN;ADULTE;;RRO-TAB;;;;
501;9782355841163;MR MONSTER;WELLS DAN;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-WEL;;;;
502;9782709646178;PLUME FANTOME;WOLFF ISABEL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-WOL;;;;
503;9782298066951;FILLE DU LOUP-LA;WOOD BARBABRA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;DANS LA ROME ANTIQUE;RRO-WOO;;;;
504;9782298083422;GUERISSEUSE ET LE ROI-LA;WOOD BARBABRA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;EN SYRIE, AU XV°;RRO-WOO;;;;
505;9782080671981;SUR LES RIVES DE L'HUDSON;WHARTON EDITH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-WHA;;;;
506;9782221114353;CHEVAUX SAUVAGES OU PRESQUE-DES;WALLS JEANNETTE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-WAL;;;;
507;9782259221863;CHARDONNERET-LE;TARTT DONNA;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-TAR;;;;
508;9782213604237;OUVERT AU PUBLIC;SPARK MURIEL;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;12 NOUVELLES;RRO-SPA;;;;
509;9782262019471;MENSONGES DE L'HISTOIRE-LES;MIQUEL PIERRE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;TOUT PUBLIC;LES MENSONGES POUR RAISON D'ETAT AU FIL DE L'HISTOIRE;DHI-MIQ;;;;
510;9782226190611;AME DU DIABLE-L';ROBINSON PETER;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;THRILLER;ADULTE;;RTH-ROB;;;;
511;9782848930794;NI CHAIR NI SANG;RENDELL RUTH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-REN;;;;
512;9782848930381;13° MARCHE-LA;RENDELL RUTH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-REN;;;;
513;9782848931104;MAISON DU LYS TIGRE;RENDELL RUTH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-REN;;;;
514;9782848932408;CELLE QUI SAVAIT;RENDELL RUTH;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-REN;;;;
515;9782213612164;SOUMISSIONS;ROWE JENNIFER;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;POLICIER;ADULTE;;RPO-ROW;;;;
516;9782330072650;TRISTESSE DES ELEPHANTS;PICOULT JODI;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-PIC;;;;
517;9782264051769;PRIX DE L'HERESIE-LE;PARRIS L.J.;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-PAR;;;;
518;9782755629118;DERRIERE LES PORTES;PARIS B.A.;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;THRILLER;ADULTE;;RTH-PAR;;;;
519;9782280164863;SECRETS DU TITANIC-LES;OCORK SHANNON;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-OCO;;;;
520;;CANONS DE NAVARONNE;MCLEAN ALISTAIR;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-MCL;;;;
