N° LIVRE;N° ISBN;TITRE;AUTEUR;EPOQUE;NATIONALITE;GENRE;SOUS GENRE;CATEGORIE LECTEUR;COMMENTAIRE;REF BIBLI;PRESENT;DATE EMPRUNT;EMPRUNTEUR;RETOUR PREVU
694;9782904925082;ACCUSATEUR SE MEURT-L’;LUCOT YVES MARIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;LA FIN DES FOUQUIER-TINVILLE;RHI-LUC;;;;
695;9782904925104;HUSSON DIT CHAMPFLEURY;LUCOT YVES MARIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;LA VIE ET L’OEUVRE DE JULES HUSSON;RHI-LUC;;;;
696;9782277212027;CONCERTO DU FLEUVE JAUNE;LIE CHOW CHING;CONTEMPORAINE (+19°);ASIATIQUE;ROMAN;ROMAN;ADULTE;SUITE DU PALANQUIN DES LARMES;RRO-LIE;;;;
697;9782021117707;EN FINIR AVEC EDDY BELLEGUEULE;LOUIS EDOUARD;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LOU;;;;
698;9782070147908;PIRATES;LOI FABRICE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LOI;;;;
699;;THYL ULENSPIEGEL;DE COSTER CHARLES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;AVENTURE;TOUT PUBLIC;AVENTURE DE FANFAN LA TULIPE;RAV-DE ;;;;
700;;PAIN DUR-LE;CLAUDEL PAUL;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;POESIE/THEATRE;TOUT PUBLIC;;LPO-CLA;;;;
701;;HOMME FOUDROYE-L’;CENDRARS BLAISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CEN;;;;
702;;LIAISONS DANGEUREUSES-LES;DE LACLOS CHODERLOS;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DE ;;;;
703;9782070414437;PRINCESSE DE CLEVES-LA;MADAME DE LAFAYETTE;CLASSIQUE(18°-);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAD;;;;
704;;CHANT DE L’EQUIPAGE-LE;MAC ORLAN PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-MAC;;;;
705;;NUITS DE PRINCES;KESSEL JOSEPH;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-KES;;;;
706;;AMES MORTES-LES;GOGOL;CONTEMPORAINE (+19°);RUSSE;ROMAN;ROMAN;TOUT PUBLIC;;RRO-GOG;;;;
707;;MORCEAUX CHOISIS;HUGO VICTOR;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;POÉSIE/THEATRE;TOUT PUBLIC;;LPO-HUG;;;;
708;9782253009689;NOTRE DAME DE PARIS;HUGO VICTOR;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-HUG;;;;
709;;BEL-AMI;MAUPASSANT GUY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
710;9782253012351;PIRERRE ET JEAN;MAUPASSANT GUY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
711;9782070400393;CLAIR DE LUNE;MAUPASSANT GUY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
712;9782211080446;HISTOIRES DOUCES AMERES;MAUPASSANT GUY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
713;;LONGUES NOUVELLES;MAUPASSANT GUY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
714;;RECITS PARISIENS;MAUPASSANT GUY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
715;;CONTES DES BORDS DE L’EAU ET D’AILLEURS;MAUPASSANT GUY DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-MAU;;;;
716;;LEGENDE DES NIBELUNGEN-LA;EHRHARD;CLASSIQUE(18°-);FRANCAIS;LITTÉRATURE CLASSIQUE;CONTES & LEGENDES;TOUT PUBLIC;;LCO-EHR;;;;
717;;PREMIER TOUR DU MONDE SOUS LES MERS;AMIRAL LEPOTIER;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;TOUT PUBLIC;;DHI-AMI;;;;
718;9782743462499;FLEURS DU MAL-LES;BAUDELAIRE CHARLES;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;POESIE/THEATRE;ADULTE;2 EXEMPLAIRES;LPO-BAU;;;;
719;;PARADIS ARTIFICIELS-LES;BAUDELAIRE CHARLES;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;ADULTE;;LRO-BAU;;;;
720; ;MISERABLES-LES TOME I;HUGO VICTOR;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-HUG;;;;
721;;MISERABLES-LES TOME II;HUGO VICTOR;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-HUG;;;;
722;;MISERABLES-LES TOME III;HUGO VICTOR;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-HUG;;;;
723;;QUATRE VINGT TREIZE;HUGO VICTOR;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-HUG;;;;
724;9782298106169;AU PLAISIR D’AIMER;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;2 EXEMPLAIRES;RRO-BOI;;;;
725;9782298154795;QUATRE FILLES DU DOCTEUR MOREAU-LES;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOI;;;;
726;9782266130585;PAIN ROUGE-LE;ARMAND MARIE-PAUL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ARM;;;;
727;9782070367597;VOYAGEUR SANS BAGAGE-LE;ANOUILH JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ANO;;;;
728;;SAUVAGE-LE;ANOUILH JEAN;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;POESIE/THEATRE;ADULTE;;LPO-ANO;;;;
729;9782724200942;POMME OUBLIEE-UNE;ANGLADE JEAN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ANG;;;;
730;9782755641585;MARCHAND DE SABLES-LE;ALEXIA GAIA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;FANTASY;ADULTE;SAISON 1;RFA-ALE;;;;
731;9782755641721;MARCHAND DE SABLES-LE;ALEXIA GAIA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;FANTASY;ADULTE;SAISON 2;RFA-ALE;;;;
732;9781505629903;HISTOIRE D’UN CASSE-NOISETTE;DUMAS ALEXANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-DUM;;;;
733;9782259223423;BAISERS DU SOLEL-LES;JOBERT MARLENE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;BIOGRAPHIE;TOUT PUBLIC;;DBI-JOB;;;;
734;;JE N’AVAIS PAS PENSE A TOI;AUBRY CECILE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-AUB;;;;
735;;VIEILLE MAITRESSE-UNE;AUREVILLY BARBEY -D’;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-AUR;;;;
736;9782724247620;VIE ETERNELLE,ROMAN-LA;ATTALI JACQUES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ATT;;;;
737;;QUESTION DE CHANCE-UNE;ARNOTHY CHRISTINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ARN;;;;
738;;JARDIN NOIR-LE;ARNOTHY CHRISTINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ARN;;;;
739;;BONHEUR D’UNE MANIERE OU D’UNE AUTRE-LE;ARNOTHY CHRISTINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ARN;;;;
740;9782080700223;SALAMMBO;FLAUBERT GUSTAVE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-FLA;;;;
741;;MADAME BOVARY;FLAUBERT GUSTAVE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-FLA;;;;
742;9782253082507;CRIME ET CHATIMENT;DOSTOIEWSKI;CONTEMPORAINE (+19°);RUSSE;ROMAN;ROMAN;TOUT PUBLIC;;RRO-DOS;;;;
743;9782253005254;LETTRES DE MON MOULIN;DAUDET ALPHONSE;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-DAU;;;;
744;9782253008880;TROIS MOUSQUETAIRES-LES;DUMAS ALEXANDRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-DUM;;;;
745;;DON QUICHOTTE;CERVANTES SAAVEDRA MIGUEL DE;CLASSIQUE(18°-);ESPAGNOL;ROMAN;ROMAN;TOUT PUBLIC;;RRO-CER;;;;
746;;FORCE DES CHOSES-LA;BEAUVOIR SIMONE DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;ADULTE;Tome 1;RBI-BEA;;;;
747;;MORT A CREDIT;CELINE LOUIS FERDINAND;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CEL;;;;
748;;D’UN CHATEAU A L’AUTRE;CELINE LOUIS FERDINAND;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CEL;;;;
749;;ETRANGER-L’;CAMUS ALBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CAM;;;;
750;;ANE CULOTTE-L’;BOSCO HENRI;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOS;;;;
751;9782218749056;COLONEL CHABERT-LE;BALZAC HONORÉ;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-BAL;;;;
752;;TENEBREUSE AFFAIRE-UNE;BALZAC HONORÉ;CONTEMPORAINE (+19°);FRANCAIS;LITTÉRATURE CLASSIQUE;ROMAN;TOUT PUBLIC;;LRO-BAL;;;;
753;;CLOCHES DE BALE-LES;ARAGON LOUIS;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-ARA;;;;
754;9782868041920;CENT FAMILLES;LAHAYE JEAN LUC;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;ADULTE;;RBI-LAH;;;;
755;;RUE DES VICTOIRES;LAGORCE GUY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LAG;;;;
756;9782744168114;CHATELAINE DE MALLAIG-LA;LACOMBE DIANE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LAC;;;;
757;9782744167924;SE SOUVENIR DE SEBAIN;LANGLOIS ANNE MARIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LAN;;;;
758;9782072689079;LAMBEAU-LE;LANCON PHILIPPE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LAN;;;;
759;;DENTELIERE-LA;LAINE PASCAL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LAI;;;;
760;;HISTOIRES D’AFRIQUE;LEBLOND MARIUS ARY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-LEB;;;;
761;;ARSENE LUPIN;LEBLANC MAURICE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;TOUT PUBLIC;;RPO-LEB;;;;
762;;JOURNAL D’UN CURIEUX DE CAMPAGNE;LASSUS ROBERT;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;;DSO-LAS;;;;
763;9782253040316;CITE DE LA JOIE-LA;LAPIERRE DOMINIQUE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;;DSO-LAP;;;;
764;9782221102404;NEW YORK BRULE-T-IL;LAPIERRE DOMINIQUE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;THRILLER;ADULTE;;RTH-LAP;;;;
765;9782724271432;FELIX FILS DE PAULINE;HEBRARD FREDERIQUE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-HEB;;;;
766;9782744147311;MODOC, UN AMOUR D’ELEPHANT;HELFER RALPH;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;TOUT PUBLIC;;RRO-HEL;;;;
767;9782070134786;PLUSIEURS MOIS D’AVRIL;HENRY FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-HEN;;;;
768;;INNOCENT-L’;HERIAT PHILIPPE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-HER;;;;
769;9782226245229;SIECLE DE DIEU-LE;HERMANY-VIEILLE CATHERINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;ADULTE;;RHI-HER;;;;
770;;MAUVAISE GRACE-LA;D’HERMIES MICHEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-D’H;;;;
771;9782070149902;GRATIS;HERZOG FELICITE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-HER;;;;
772;9782724222822;MABROUK;HUTIN JEAN PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ZOOLOGIE;TOUT PUBLIC;;RZO-HUT;;;;
773;9782253029267;JE PORTE PLAINTE;IKOR ROGER;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;« LES SECTES QUI ASSASSINENT NOS ENFANTS »;DSO-IKO;;;;
774;9782234075603;AU MOINS, IL NE PLEUT PAS;JACQUES PAULA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-JAC;;;;
775;9782258098275;DANS L’OEIL DU SCHIZO;JAOUEN HERVE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-JAO;;;;
776;9782724233743;PASSION DES FEMMES-LA;JAPRISOT SEBASTIEN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-JAP;;;;
777;9782070372966;ETE MEURTRIER-L’;JAPRISOT SEBASTIEN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-JAP;;;;
778;9782724205960;NAIN JAUNE-LE;JARDIN PASCAL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;2 EXEMPLAIRES;RRO-JAR;;;;
779;9782350874746;PLEURER DES RIVIERES;JASPARD ALAIN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-JAS;;;;
780;9782253031314;BABY FOOT;JOFFO JOSEPH;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;SUITE DE UN SAC DE BILLES;RRO-JOF;;;;
781;;VIEILLE DAME DE DJERBA-LA;JOFFO JOSEPH;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-JOF;;;;
782;9782724204034;MARI DE MAMAN-LE;JYL LAURENCE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-JYL;;;;
783;;JE CRIE ET VOUS NE M’ENTENDEZ PAS;KERDILES CHANTAL;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;SOCIAL;ADULTE;;DSO-KER;;;;
784;;FOUS DE GUERRE-LES;KAY JEAN;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;;DHI-KAY;;;;
785;9782709635622;IL FAUT LAISSER LES CACTUS AU PLACARD;KERIMER FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-KER;;;;
786;9782298105360;LES PETITS BONHEURS;KHAYAT ONDINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-KHA;;;;
787;;ETE A COEUR PERDU -L’;KYRIA PIERRE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-KYR;;;;
788;;MEDECIN DE LA VALLEE-LE;KONSALIK HEINZ G;CONTEMPORAINE (+19°);ALLEMAND;ROMAN;ROMAN;ADULTE;;RRO-KON;;;;
789;;THERESE ETIENNE;KNITTEL JOHN;CONTEMPORAINE (+19°);ALLEMAND;ROMAN;ROMAN;ADULTE;;RRO-KNI;;;;
790;9782724284542;CRI DE LA MOUETTE-LE;LABORIT EMMANUELLE;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;BIOGRAPHIE;ADULTE;;DBI-LAB;;;;
791;9782213011168;RENDEZ VOUS AVEC MON FILS;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOI;;;;
792;9782266174985;JE SERAI LA PRINCESSE DU CHATEAU;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOI;;;;
793;;TRAHISON SUR COMMANDE;KLEIN ALEXANDER;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;HISTORIQUE;ADULTE;;RHI-KLE;;;;
794;9782298122169;AUDREY RETROUVEE;KINSELLA SOPHIE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-KIN;;;;
795;;CETTE ETRANGE TENDRESSE;DES CARS GUY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DES;;;;
796;9782277021001;CRIME DE MATHILDE-LE;DES CARS GUY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-DES;;;;
797;9782258005183;EVADES-LES;BILALIAN DANIEL;CONTEMPORAINE (+19°);FRANCAIS;DOCUMENT;HISTORIQUE;ADULTE;RECITS D’EVASIONS DURANT 39-45;DHI-BIL;;;;
798;9782266129381;HISTOIRES DE RENCONTRES;BINCHY MAEVE;CONTEMPORAINE (+19°);ANGLAIS/USA;ROMAN;ROMAN;ADULTE;;RRO-BIN;;;;
799;;GRAND BARRAGE-LE;BLANC AIME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BLA;;;;
800;;NOUVELLE HISTOIRE DE MOUCHETTE;BERNANOS GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BER;;;;
801;;JOURNAL D’UN CURE DE CAMPAGNE;BERNANOS GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BER;;;;
802;;JOIE-LA;BERNANOS GEORGES;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BER;;;;
803;;REINES TRAGIQUES-LES;BENZONI JULIETTE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
804;9782724282930;TREIZE VENTS-LES;BENZONI JULIETTE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BEN;;;;
805;;TRIPORTEUR-LE;FALLET RENE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-FAL;;;;
806;9782253046714;BAISER DU DRAGON-LE;LACAMP YSABELLE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-LAC;;;;
807;;MONSIEUR LE CONSUL;BODARD LUCIEN;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOD;;;;
808;9782846941075;HISTOIRE D’AMOUR;BOISSARD JANINE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOI;;;;
809;9782246818168;QUAND DIEU BOXAIT EN AMATEUR;BOLEY GUY;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOL;;;;
810;9782878217452;FRERES DU DIABLE-LES;BORDES GILBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOR;;;;
811;9782878210743;ROI EN SON MOULIN-LE;BORDES GILBERT;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOR;;;;
812;9782903549338;AFFAIRE DE LA MOME MOINEAU-L’ T1;BORNICHE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-BOR;;;;
813;9782903549346;AFFAIRE DE LA MOME MOINEAU-L’ T2;BORNICHE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-BOR;;;;
814;9782221115671;METAMORPHOSES D’ALPHONSE-LES;BOUDARD ALPHONSE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;BIOGRAPHIE;ADULTE;;RBI-BOU;;;;
815;9782848052793;TRISTAN;BOULAY CLARENCE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
816;9782846662796;MAUVAISES PENSEES-MES;BOURAOUI NINA;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
817;9782840114581;SORCIERS DE LA DOMBES-LES;BOUIN PHILIPPE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-BOU;;;;
818;9782714479464;SI LOIN SI PROCHES;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
819;9782714460561;FACE A LA MER;BOURDIN FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
820;9782840114314;FORGE AU LOUP;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;2 EXEMPLAIRES;RRO-BOU;;;;
821;9782258077522;NUIT DE L’AMANDIER-LA;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;3 EXEMPLAIRES;RRO-BOU;;;;
822;9782298101386;FILS MAUDIT-LE;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
823;9782840116288;MAITRE ARDOISIER-LE;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
824;9782266129282;COUR AUX PAONS-LA;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
825;9782266137973;BOIS DE LUNE-LE;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
826;9782298129823;ROSES SONT ETERNELLES;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
827;9782266188180;FIGUIERE EN HERITAGE-LA;BOURDON FRANCOISE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BOU;;;;
828;9782878211707;COMPAGNONS D’ETERNITE-LES;BOURIN JEANNE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-BOU;;;;
829;9782724250729;PEREGRINES-LES;BOURIN JEANNE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;HISTORIQUE;TOUT PUBLIC;;RHI-BOU;;;;
830;9782702153680;VALLEE DES AMBITIONS-LA;BROC NATHALIE DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BRO;;;;
831;9782840113232;GEANTS DE PIERRE-LES;BRUEL ANNIE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BRU;;;;
832;9782878217322;PRISONNIERES DES PHARAONS-LES;BRUSSOLO SERGE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BRU;;;;
833;9782878214870;OMBRES DU JARDI N-LES;BRUSSOLO SERGE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BRU;;;;
834;9782358877190;REPUBLIQUE DES FAIBLES-LA;BULTEAU GWENAEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;POLICIER;ADULTE;;RPO-BUL;;;;
835;9782857075813;MAISON QUI N’OUBLIE PAS-LA;BURGEL PATRICK;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BUR;;;;
836;9782724246101;C’EST QUOI CE PETIT BOULOT;BURON NICOLE DE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BUR;;;;
837;9782258145283;NYMPHEAS NOIRS;BUSSI MICHEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-BUS;;;;
838;9782072818493;DISCOURS-LE;CARO FABRICE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CAR;;;;
839;9782818021187;ROYAUME-LE;CARRERE EMMANUEL;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CAR;;;;
840;9782226215307;LEVIATEMPS;CHATTAM MAXIME;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CHA;;;;
841;9782912728593;FIN DES DEVORANTS-LA;CATTIN ETIENNE;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-CAT;;;;
842;9782226314833;JULES;VAN CAUWELAERT DIDIER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-VAN;;;;
843;9782226398932;RETOUR DE JULES-LE;VAN CAUWELAERT DIDIER;CONTEMPORAINE (+19°);FRANCAIS;ROMAN;ROMAN;ADULTE;;RRO-VAN;;;;
